"Zeitstempel","Geschlecht","Alter","Wieviele Stunden haben Sie am Tag zu Ihrer Höchstzeit Videospiele gespielt?","Wieviele Stunden verbringen Sie am Tag insgesamt am Computer?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Welches Atmosphäre hat Ihnen mehr Spass gemacht?","Kommentar und Verbesserungsvorschläge"
"2018/01/24 11:34:44 nachm. MEZ","Männlich","23","13","12","1","Ja","1","Ja","3","Ja","2","Ja","2","Ja","1","Ja","1","Ja","1","Ja","1","Ja","1","Ja","Horror Atmosphäre",""
"2018/01/24 11:36:04 nachm. MEZ","Männlich","24","12","12","1","Ja","1","Ja","1","Ja","1","Ja","2","Ja","1","Ja","1","Ja","1","Ja","1","Ja","2","Ja","Happy Atmosphäre",""
"2018/01/24 11:39:03 nachm. MEZ","Männlich","24","15","8","1","Ja","4","Ja","3","Ja","3","Ja","5","Ja","1","Ja","5","Nein","3","Ja","4","Ja","4","Ja","Horror Atmosphäre",""
"2018/01/24 11:39:16 nachm. MEZ","Männlich","21","12","8","2","Ja","2","Ja","1","Ja","1","Ja","3","Nein","1","Ja","2","Ja","2","Ja","1","Ja","2","Ja","Horror Atmosphäre",""
"2018/01/25 9:23:34 vorm. MEZ","Weiblich","22","0,5","2","4","Ja","5","Ja","4","Ja","3","Nein","3","Ja","6","Ja","4","Ja","4","Nein","6","Nein","4","Ja","Happy Atmosphäre",""
"2018/01/25 9:30:35 vorm. MEZ","Weiblich","21","1","9","2","Ja","2","Ja","5","Nein","4","Ja","6","Nein","1","Ja","3","Nein","5","Nein","3","Ja","3","Ja","Horror Atmosphäre",""
"2018/01/25 10:26:51 vorm. MEZ","Weiblich","21","5","1,5","2","Ja","6","Nein","3","Ja","4","Ja","7","Nein","2","Ja","2","Ja","2","Ja","3","Ja","6","Nein","Horror Atmosphäre","Bei der Rotation bekommt man auch einen kurzen Überblick über das Feld. Die Rotation selbst hat mich nicht so gestört, der Überblick aber sehr geholfen, deswegen hab ich mich über die Kiste gefreut! (Was vielleicht nicht der Sinn war.) Ansonsten lustiges Spiel. :) "
"2018/01/25 11:08:47 vorm. MEZ","Weiblich","23","3","9","1","Ja","1","Ja","3","Nein","5","Nein","5","Ja","1","Ja","2","Ja","4","Ja","2","Ja","4","Ja","Happy Atmosphäre",""
"2018/01/25 11:33:54 vorm. MEZ","Weiblich","22","3","8","3","Nein","4","Nein","4","Nein","4","Nein","4","Nein","2","Ja","3","Nein","2","Ja","1","Ja","3","Ja","Happy Atmosphäre",""
"2018/01/25 11:39:32 vorm. MEZ","Männlich","27","14","14","2","Ja","3","Ja","4","Ja","5","Ja","6","Ja","7","Ja","1","Ja","2","Ja","3","Ja","4","Ja","Happy Atmosphäre","get your shit together"
"2018/01/25 11:39:38 vorm. MEZ","Männlich","22","6","5","2","Ja","4","Nein","3","Ja","3","Ja","6","Nein","1","Ja","5","Nein","5","Nein","3","Ja","3","Ja","Horror Atmosphäre","Fratzenanzahl ist gut. Es ist nicht zu häufig. Habe mich erst sicher gefühlt auf einmal Fratze. Manchmal hat man einfach Teleporationspech oder Pech den falschen Weg ausprobiert zu haben. Schöne Soundfiles. Verbesserungen: keine Ahnung"
"2018/01/25 11:39:44 vorm. MEZ","Männlich","22","6","7","2","Ja","5","Nein","4","Ja","3","Ja","3","Ja","1","Ja","2","Ja","3","Ja","4","Ja","6","Ja","Horror Atmosphäre",""
"2018/01/25 11:40:23 vorm. MEZ","Männlich","22","6","8","7","Nein","5","Ja","6","Ja","4","Ja","7","Nein","2","Ja","4","Ja","5","Ja","3","Ja","7","Ja","Horror Atmosphäre","buggy wie fick und beim Jump-Scare waren Bild und Ton nicht synchron"
"2018/01/25 11:41:30 vorm. MEZ","Männlich","26","6","5","5","Nein","4","Ja","7","Ja","7","Nein","7","Nein","2","Ja","3","Ja","2","Ja","3","Ja","6","Nein","Happy Atmosphäre",""
"2018/01/25 11:42:39 vorm. MEZ","Männlich","23","14","10","1","Ja","1","Ja","4","Nein","2","Ja","4","Ja","1","Ja","1","Ja","1","Ja","1","Ja","3","Ja","Happy Atmosphäre",""
"2018/01/25 11:52:56 vorm. MEZ","Weiblich","22","6","6","2","Ja","2","Ja","3","Ja","4","Ja","4","Ja","1","Ja","1","Ja","1","Ja","2","Ja","3","Ja","Happy Atmosphäre",""
"2018/01/25 12:27:48 nachm. MEZ","Männlich","23","6","30 Minuten","1","Ja","4","Ja","3","Ja","3","Ja","5","Ja","1","Ja","2","Ja","2","Ja","3","Ja","4","Ja","Horror Atmosphäre",""
"2018/01/25 12:35:59 nachm. MEZ","Weiblich","20","4","1","2","Ja","4","Ja","5","Ja","4","Ja","6","Nein","1","Ja","1","Ja","2","Ja","2","Ja","4","Ja","Horror Atmosphäre","Ich möchte die coole Kugel wieder haben :)"
"2018/01/25 12:52:27 nachm. MEZ","Männlich","22","0","4","4","Ja","4","Ja","6","Ja","5","Ja","6","Ja","4","Ja","3","Ja","5","Ja","5","Ja","6","Ja","Happy Atmosphäre",""
"2018/01/25 12:58:47 nachm. MEZ","Weiblich","20","4","1","4","Ja","4","Ja","3","Ja","4","Ja","2","Nein","1","Ja","5","Nein","2","Ja","3","Ja","5","Ja","Horror Atmosphäre","Anderer Boden bei Happy Atmosphäre; als Figur eigenet sich eine weibliche Figur besser"
"2018/01/25 1:14:19 nachm. MEZ","Weiblich","25","2","8","1","Ja","2","Ja","3","Nein","4","Ja","5","Nein","1","Nein","2","Ja","3","Ja","4","Ja","5","Ja","Happy Atmosphäre",""
"2018/01/25 1:35:00 nachm. MEZ","Männlich","22","10","12","2","Ja","5","Ja","4","Ja","4","Ja","3","Nein","1","Ja","1","Ja","1","Ja","2","Ja","5","Ja","Horror Atmosphäre","Es hat mehr Spaß gemacht, weil es herausfordernder war. Jedoch hat der Ton nicht funktioniert."
"2018/01/25 1:51:56 nachm. MEZ","Männlich","22","8","8","1","Ja","1","Ja","1","Ja","2","Ja","3","Nein","1","Ja","1","Ja","2","Nein","2","Nein","3","Nein","Horror Atmosphäre",""
"2018/01/25 4:41:31 nachm. MEZ","Männlich","22","10","4","1","Ja","2","Ja","3","Ja","3","Ja","4","Ja","1","Ja","2","Ja","3","Ja","4","Ja","6","Ja","Happy Atmosphäre",""
"2018/01/25 6:42:11 nachm. MEZ","Weiblich","72","23","22,5","1","Nein","1","Nein","7","Ja","1","Nein","1","Nein","4","Ja","1","Nein","1","Nein","7","Ja","1","Nein","Horror Atmosphäre","Die Mainstory verstehe ich nicht und die Sidequests packen mich nicht. Außerdem: es gibt keine Minimap, die den Weg zeigt. Woher soll ich wissen wo ich hin muss? "
"2018/01/25 6:48:13 nachm. MEZ","Männlich","25","3","3","1","Ja","1","Ja","1","Ja","1","Ja","1","Ja","1","Ja","1","Ja","1","Ja","1","Ja","3","Ja","Happy Atmosphäre","charakter gestaltung mit verschiedenen hautfarben damit ich mich nicht so diskriminiert fühle."
"2018/01/25 6:58:03 nachm. MEZ","Weiblich","28","1","1","2","Ja","2","Ja","5","Nein","6","Nein","3","Ja","1","Ja","2","Ja","6","Nein","3","Ja","5","Ja","Horror Atmosphäre","die Musik ist furchtbar"
"2018/01/25 7:16:56 nachm. MEZ","Männlich","22","10","12","3","Ja","3","Ja","1","Ja","2","Ja","3","Ja","1","Ja","2","Ja","1","Ja","4","Nein","1","Ja","Horror Atmosphäre",""
"2018/01/25 7:18:17 nachm. MEZ","Männlich","78","17","15","7","Nein","7","Nein","7","Nein","7","Nein","7","Nein","7","Ja","7","Ja","7","Ja","7","Ja","4","Ja","Happy Atmosphäre","Mehr Muschi ihr Bobbys"
"2018/01/25 7:45:27 nachm. MEZ","Weiblich","21","0","1","4","Nein","4","Ja","4","Nein","3","Ja","6","Nein","1","Ja","2","Ja","3","Ja","2","Ja","3","Ja","Happy Atmosphäre","Marvin Treus ist ein fantastischer Entwickler und eine Granate in jederlei HInsicht - dicker Pluspunkt :-*"
"2018/01/25 7:59:24 nachm. MEZ","Männlich","29","8","10","1","Ja","1","Ja","5","Nein","3","Ja","5","Ja","1","Ja","1","Ja","3","Ja","2","Ja","2","Ja","Horror Atmosphäre","jump scares suck!"
"2018/01/25 8:01:17 nachm. MEZ","Männlich","21","10","2","1","Ja","2","Ja","3","Ja","5","Nein","6","Nein","1","Ja","2","Ja","5","Nein","3","Ja","7","Nein","Horror Atmosphäre",""
"2018/01/25 8:11:35 nachm. MEZ","Männlich","28","8","8","2","Ja","2","Ja","3","Ja","3","Ja","1","Ja","2","Ja","2","Ja","2","Ja","2","Ja","7","Nein","Horror Atmosphäre","After the Witcher - Wild Hunt I thought I could never enjoy a game this much anymore. I was proven wrong. 10/10 would buy again. Can't wait for the DLC."
"2018/01/25 8:59:15 nachm. MEZ","Männlich","28","18","9","2","Ja","4","Nein","3","Ja","3","Ja","6","Nein","2","Ja","5","Nein","3","Ja","4","Ja","5","Ja","Horror Atmosphäre",""
"2018/01/25 9:45:47 nachm. MEZ","Weiblich","23","1","3","7","Nein","7","Nein","7","Nein","7","Nein","7","Nein","3","Ja","4","Ja","4","Ja","4","Ja","7","Nein","Happy Atmosphäre",""
"2018/01/25 9:54:36 nachm. MEZ","Weiblich","26","2","10","3","Ja","3","Ja","2","Ja","3","Ja","4","Ja","2","Ja","3","Ja","3","Ja","3","Ja","2","Ja","Horror Atmosphäre","Schriftart bei Happy Atmosphäre schwer lesbar"
"2018/01/25 10:07:20 nachm. MEZ","Weiblich","21","1","0,5","5","Nein","6","Nein","5","Nein","6","Nein","6","Nein","3","Ja","4","Ja","5","Nein","5","Ja","4","Ja","Happy Atmosphäre","nach den 5 Horror Levels kamen bei mir erst Level 1, 3 und 5 vom Happy Modus und danach dann nochmal der Happy Modus komplett von Level 1-5"
"2018/01/25 10:22:31 nachm. MEZ","Weiblich","22","2","8","7","Nein","7","Nein","7","Nein","7","Nein","7","Nein","7","Nein","7","Nein","7","Nein","7","Nein","7","Nein","Happy Atmosphäre",""
"2018/01/25 10:42:10 nachm. MEZ","Männlich","21","10","5","4","Nein","2","Ja","2","Ja","4","Nein","6","Nein","1","Ja","2","Ja","2","Ja","2","Ja","4","Ja","Horror Atmosphäre","Anzeige des aktuellen Levels wäre cool"
"2018/01/25 11:10:32 nachm. MEZ","Männlich","25","13","8","1","Ja","3","Ja","4","Ja","4","Ja","4","Ja","1","Ja","2","Ja","3","Ja","4","Ja","4","Ja","Horror Atmosphäre","Das Spiel lief auf meinem leistungsstarken Laptop nicht(i7, dedizierte Grafikkarte, SSD, Win 7, Chrome). Die höhere Schwierigkeit in der Horror Atmosphäre ergab sich durch im Spielverlauf spät auftauchende ""Zurück zum Start"" Kisten oder ""Rotations"" Kisten gefolgt von ""Random Teleport"" Kisten, weshalb ich den überblick komplett verloren habe. In der Happy Atmosphäre ist das nicht in der Form aufgetreten."
"2018/01/25 11:11:43 nachm. MEZ","Weiblich","22","6","6","5","Nein","1","Ja","6","Ja","5","Ja","4","Ja","1","Ja","2","Ja","5","Nein","4","Ja","3","Ja","Horror Atmosphäre","Das Vogelgezwitscher zerreißt meine Nerven. Ansonsten süß. Hab mich erschreckt. <3"
"2018/01/25 11:12:22 nachm. MEZ","Weiblich","56","1","3","7","Nein","6","Nein","5","Nein","4","Nein","3","Nein","6","Nein","5","Nein","4","Nein","3","Nein","2","Nein","Happy Atmosphäre","die Zeit zum um rumzukommen ist sehr kurz gehalten"
"2018/01/26 12:25:36 nachm. MEZ","Männlich","27","6","7","3","Ja","3","Ja","3","Ja","3","Ja","5","Ja","2","Ja","2","Ja","2","Ja","3","Ja","5","Nein","Horror Atmosphäre",""
"2018/01/26 1:17:49 nachm. MEZ","Weiblich","25","4","1","1","Ja","1","Ja","3","Nein","3","Ja","5","Nein","1","Ja","2","Ja","3","Nein","2","Ja","1","Ja","Happy Atmosphäre",""
"2018/01/26 2:44:08 nachm. MEZ","Männlich","23","8","4","3","Ja","2","Ja","3","Ja","1","Ja","3","Ja","1","Ja","2","Ja","4","Nein","3","Ja","3","Ja","Horror Atmosphäre",""